Nome;Modelo;Valor c desc;Valor s desc;Porcentagem desc;Avaliacao; 
Jaqueta Nike Repel Miler Masculina;Corrida;R$ 408,49 no Pix;R$ 599,99;32% off;5.0;
Blusão Nike Barcelona III Club French Terry Masculino;Futebol;R$ 284,99 no Pix;R$ 599,99;53% off;;
Blusão Jordan Flight MVP Masculino;Casual;R$ 474,99 no Pix;R$ 499,99;5% off;;
Camiseta Nike Paris Saint-Germain Academy Pro Masculina;Futebol;R$ 341,99 no Pix;R$ 399,99;15% off;;
Camisa Nike Paris Saint-Germain I 2023/24 Jogador Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;4.5;
Camiseta Nike Vintage Masculina;Treino & Academia;R$ 218,49 no Pix;R$ 229,99;5% off;;
Camiseta Nike Vintage Masculina;Treino & Academia;R$ 218,49 no Pix;R$ 229,99;5% off;;
Camisa Nike Liverpool II 2023/24 Jogador Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;;
Regata Nike NBA Stephen Curry Golden State Warriors 2024/25 Select Series Masculina;Basquete;R$ 598,49 no Pix;R$ 699,99;15% off;;
Camiseta Nike Run Energy Masculina;Corrida;R$ 246,99 no Pix;R$ 349,99;29% off;;
Camiseta Nike Dri-FIT Giannis Masculina;Basquete;R$ 265,99 no Pix;R$ 279,99;5% off;;
Camiseta Jordan Masculina;Casual;R$ 313,49 no Pix;R$ 329,99;5% off;4.8;
Personalize;Camisa Nike Brasil II 2022/23 Jogador Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;5.0
Camiseta Nike Dri-FIT ADV Masculina;Treino & Academia;R$ 360,99 no Pix;R$ 499,99;28% off;5.0;
Calça Nike Brasil Strike Elite Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;5.0;
Regata Nike NBA Cleveland Cavaliers Icon Edition 2022/23 Masculina;Basquete;R$ 531,99 no Pix;R$ 699,99;24% off;5.0;
